iter	RMSE	PrecisionAt:top=5	RecallAt:top=5
0	0.2784361446	0	0.1997226075
1	0.2776215131	0	0.1997226075
2	0.2767370092	0.02565880721	0.2134478943
3	0.2760722464	0.026629681	0.2138615313
4	0.2753450087	0.026629681	0.2138615313
5	0.2746686063	0.026629681	0.2138615313
6	0.2740646009	0.026629681	0.2138615313
7	0.2736141528	0.026629681	0.2138615313
8	0.2731549258	0.026629681	0.2138615313
9	0.2727048428	0.08016643551	0.2447408629
10	0.2722240388	0.0839112344	0.2456560651
11	0.271826518	0.08460471567	0.2462746308
12	0.2713059533	0.1163661581	0.265815611
13	0.2708744815	0.1196948682	0.268301962
14	0.2703988676	0.1198335645	0.2683334066
15	0.2700534833	0.1252427184	0.271778097
16	0.269704427	0.1319001387	0.2751396678
17	0.2693845409	0.13370319	0.2762370573
18	0.269073842	0.1343966713	0.2768618296
19	0.2687229056	0.134257975	0.2766884592
20	0.268450089	0.1338418863	0.2763277718
21	0.2681276426	0.1338418863	0.2763277718
22	0.2678993337	0.1357836338	0.2770476995
23	0.2675958893	0.1418862691	0.2796297463
24	0.2673476916	0.1432732316	0.2797785614
25	0.2671063629	0.147850208	0.2821105356
26	0.2668733886	0.1495145631	0.2843441092
27	0.2665945748	0.1506241331	0.2843372032
28	0.2663513512	0.1515950069	0.2846234447
29	0.266155303	0.1525658807	0.2865822718
30	0.2659452818	0.1525658807	0.2866131792
31	0.26572873	0.1550624133	0.2880399578
32	0.2655717834	0.1599167822	0.2935361131
33	0.2653609717	0.1601941748	0.2935951546
34	0.2651597892	0.160332871	0.2938993054
35	0.2650191678	0.1647711512	0.2960625066
36	0.2648639272	0.1654646325	0.2969838264
37	0.2646854354	0.1654646325	0.2964723688
38	0.2645411643	0.1658807212	0.2965490873
39	0.2644147413	0.165742025	0.2973946547
40	0.2642752595	0.1689320388	0.2998598664
41	0.2641176188	0.1689320388	0.2998598664
42	0.2639839202	0.1701803051	0.3011272702
43	0.2638623818	0.1703190014	0.3012140227
44	0.2637381395	0.1705963939	0.299965204
45	0.2636330832	0.172260749	0.3020543587
46	0.2635173734	0.1725381415	0.3030276154
47	0.2633734454	0.1719833564	0.3029059732
48	0.2632674239	0.1726768377	0.3028407529
49	0.2631666433	0.1758668516	0.3048888024
50	0.2630848685	0.1758668516	0.3049350344
51	0.2629528472	0.1762829404	0.3053780151
52	0.2628546092	0.1758668516	0.3050151325
53	0.2627758588	0.1765603329	0.3040976182
54	0.2626516994	0.1773925104	0.3046429851
55	0.2625470267	0.1775312067	0.3048548675
56	0.2624589391	0.1778085992	0.3056889738
57	0.2623424794	0.1782246879	0.3067045633
58	0.2622271237	0.1785020804	0.3059555557
59	0.2621385444	0.179334258	0.3063270357
60	0.2620068944	0.179334258	0.3057130863
61	0.2619073735	0.179889043	0.3064675522
62	0.2618259151	0.1814147018	0.3075860491
63	0.2617474369	0.1816920943	0.3084897633
64	0.2616696556	0.1819694868	0.3088081196
65	0.2615866971	0.1830790569	0.3084677173
66	0.2615007572	0.1840499307	0.3087088611
67	0.2614092434	0.1844660194	0.310477153
68	0.2613123177	0.1855755895	0.3092038674
69	0.2612428082	0.1855755895	0.3092038674
70	0.2611779209	0.185852982	0.3094833177
71	0.2610879749	0.1859916782	0.309731358
72	0.2610109154	0.1873786408	0.3108294477
73	0.2609422018	0.1873786408	0.310761583
74	0.2608435501	0.1883495146	0.312330505
75	0.2607751112	0.1887656033	0.3135689569
76	0.2607064032	0.1893203883	0.3132580811
77	0.2606296639	0.1900138696	0.3139316319
78	0.2605652259	0.1914008322	0.3141763768
79	0.2604824153	0.1916782247	0.3141788608
80	0.260375236	0.1925104022	0.313553467
81	0.2602770413	0.1937586685	0.3145503649
82	0.2601670453	0.1936199723	0.3137376237
83	0.2600815674	0.1944521498	0.3152288159
84	0.2599904002	0.1941747573	0.315057032
85	0.2598966609	0.1950069348	0.3158075979
86	0.2598220621	0.1950069348	0.315910622
87	0.2597485818	0.1957004161	0.3159320283
88	0.2596889462	0.1963938974	0.3163337118
89	0.2596237336	0.1959778086	0.315098435
90	0.2595517701	0.1961165049	0.314658531
91	0.2594686405	0.1966712899	0.3155790809
92	0.2593818799	0.1975034674	0.3159843959
93	0.2593156072	0.1975034674	0.3158899137
94	0.2592499388	0.1980582524	0.3163966176
95	0.2591942814	0.1984743412	0.316790582
96	0.2591143049	0.199445215	0.3180451035
97	0.2590306452	0.2002773925	0.3182972722
98	0.2589558731	0.1997226075	0.3171605444
99	0.2588973858	0.1998613037	0.3176145058
